stop_id,stop_code,stop_name,stop_lat,stop_lon
AH060,7196,"WALKLEY / JASPER",  45.373063, -75.656894
AH095,7197,"ALBION / WALKLEY",  45.372818, -75.653764
AH110,8536,"WALKLEY / BAYCREST",  45.376375, -75.648520
AH115,7198,"WALKLEY / HEATHERINGTON",  45.377709, -75.645244
AH120,5818,"WALKLEY / AD. 1570",  45.376528, -75.648479
AH140,8399,"WALKLEY / AD. 1680",  45.378826, -75.642929
AH160,7201,"WALKLEY / HERON",  45.379310, -75.641555
AH180,7202,"WALKLEY / HOLLY",  45.379938, -75.640013
AH220,5806,"HEATHERINGTON / FAIRLEA",  45.377525, -75.644608
AH240,7203,"HEATHERINGTON / ANGELA",  45.375039, -75.643701
AH260,7204,"HEATHERINGTON / BANNERHILL",  45.373968, -75.644279
AH280,8401,"HEATHERINGTON / AD. 1560",  45.373087, -75.648110
AH290,8385,"HEATHERINGTON / AD. 1535",  45.373028, -75.648634
AH300,7206,"HEATHERINGTON / AD. 1476",  45.373373, -75.650212
AH310,7208,"HEATHERINGTON / AD. 1485",  45.373229, -75.650189
AH320,7207,"HEATHERINGTON / AD. 1455",  45.372835, -75.651739
AH340,8402,"HEATHERINGTON / ALBION",  45.372288, -75.653126
AH470,5899,"BAYCREST / HERON",  45.379007, -75.652732
AH490,5880,"BAYCREST / CEDARWOOD",  45.377509, -75.650993
AH510,1924,"BAYCREST / WALKLEY",  45.376518, -75.649629
AI030,8201,"KILBORN / BRAESIDE",  45.386884, -75.660468
AI050,7213,"KILBORN / WEBSTER",  45.387119, -75.657030
AI070,8200,"KILBORN / PROSPECT",  45.387308, -75.654511
AI090,7214,"KILBORN / FEATHERSTON",  45.387502, -75.651558
AI110,7215,"KILBORN / PLAYFAIR",  45.387658, -75.649513
AI140,7227,"KILBORN / VIRGINIA",  45.387897, -75.645461
AI160,8418,"KILBORN / BEAUMONT",  45.388097, -75.643287
AI170,7229,"KILBORN / DELMAR",  45.388309, -75.640321
AI230,8333,"KILBORN / HAIG",  45.389459, -75.635578
AI295,8414,"FEATHERSTON / RYDER",  45.384251, -75.636858
AI310,7219,"FEATHERSTON / CONNECTICUT",  45.383558, -75.639141
AI330,8410,"FEATHERSTON / VIRGINIA",  45.383197, -75.642595
AI350,7221,"FEATHERSTON / JEFFERSON",  45.383181, -75.644165
AI360,7223,"JEFFERSON / FEATHERSTON",  45.382934, -75.644731
AI370,7222,"JEFFERSON / ARIZONA",  45.381655, -75.644623
AI380,7224,"JEFFERSON / HERON",  45.380690, -75.644318
AI400,8398,"RYDER / WALKLEY",  45.382486, -75.634318
AI450,5823,"HERON / JEFFERSON",  45.380280, -75.644886
AI460,8393,"HERON / SANDALWOOD",  45.379820, -75.648366
AI470,8818,"HERON / BRIARHILL",  45.379937, -75.649565
AI480,8397,"HERON / BAYCREST",  45.379659, -75.653348
AI500,7225,"HERON / FINN",  45.379449, -75.656544
AJ005,1806,"RING ROAD / TOH GENERAL CAMPUS",  45.399930, -75.648735
AJ010,1808,"RING ROAD / CHILDRENS HOSPITAL",  45.400849, -75.652401
AJ015,7231,"RING ROAD / RONALD MCDONALD HOUSE",  45.402166, -75.653431
AJ020,1591,"RING ROAD / Rehab (TOH)",  45.402968, -75.649785
AJ028,7233,"RING ROAD / CANCER CENTRE",  45.402140, -75.645227
AJ090,8222,"SMYTH / FAIRBANKS",  45.398494, -75.659492
AJ100,7235,"SMYTH / VALOUR",  45.398748, -75.658505
AJ110,7237,"SMYTH / BARNHART",  45.398838, -75.654978
AJ130,7238,"SMYTH / SOUTHHAVEN",  45.398927, -75.653569
AJ150,7239,"SMYTH / HIGHLAND",  45.399180, -75.650069
AJ180,8565,"SMYTH / LYNDA",  45.399390, -75.646910
AJ200,7244,"SMYTH / ROGER GUINDON",  45.399886, -75.642240
AJ203,3343,"SMYTH / FRANCO-CITÉ",  45.399935, -75.641511
AJ220,8563,"SMYTH / BOTSFORD STREET SOUTH",  45.400075, -75.639797
AJ230,7243,"SMYTH / DAUPHIN",  45.399899, -75.639149
AJ240,7245,"SMYTH / HAIG",  45.400417, -75.635104
AJ260,8568,"SMYTH / SAUNDERSON",  45.400685, -75.631243
AJ280,8356,"SMYTH / CUBA",  45.400880, -75.628506
AJ300,8351,"SMYTH / RUSSELL",  45.400972, -75.626333
AJ310,7247,"SMYTH / OTHELLO",  45.400843, -75.626016
AJ330,7248,"PLEASANT PARK / AD. 327",  45.393399, -75.659261
AJ340,8243,"PLEASANT PARK / AD. 328",  45.393228, -75.659212
AJ350,7251,"PLEASANT PARK / FAIRBANKS",  45.393577, -75.656589
AJ370,8238,"PLEASANT PARK / AD. 433",  45.393773, -75.653866
AJ380,7250,"PLEASANT PARK / AD. 452",  45.393703, -75.652896
AJ390,7252,"PLEASANT PARK / AD. 501",  45.393972, -75.650325
AJ400,8244,"PLEASANT PARK / AD. 504",  45.393889, -75.650109
AJ410,7253,"PLEASANT PARK / LYNDA",  45.394198, -75.648099
AJ430,7254,"PLEASANT PARK / NORWAY",  45.394392, -75.645120
AK090,8338,"PLEASANT PARK / DORVAL",  45.393733, -75.640009
AK110,7268,"PLEASANT PARK / HAIG",  45.393870, -75.636750
AK130,8336,"PLEASANT PARK / CAMROSE",  45.394124, -75.633502
AK145,6915,"PLEASANT PARK / ARCH",  45.394237, -75.631725
AK155,6918,"PLEASANT PARK / SAUNDERSON",  45.394537, -75.627441
AK360,8340,"CANTERBURY / HALIFAX",  45.389434, -75.626192
AK366,0540,"CANTERBURY / CANTERBURY H.S.",  45.388796, -75.626760
AK370,8345,"CANTERBURY / PLESSER",  45.389386, -75.626921
AK380,7275,"CANTERBURY / AD. 860",  45.389123, -75.629019
AK420,7277,"CANTERBURY / HARDING",  45.389038, -75.632034
AK430,7278,"CANTERBURY / ARCH",  45.389166, -75.631807
AK440,7279,"CANTERBURY / URBANDALE",  45.389182, -75.634198
AK500,5803,"HALIFAX / AD. 2215",  45.388822, -75.623788
AK510,5804,"HALIFAX / DAKOTA",  45.388203, -75.621664
AK530,1989,"WALKLEY / HALIFAX",  45.387552, -75.621266
AK550,7280,"WALKLEY / AD. 2099",  45.386660, -75.623527
AK560,8314,"WALKLEY / AD. 2080",  45.387055, -75.622244
AK590,8324,"WALKLEY / HARDING",  45.384983, -75.627780
AK610,7281,"WALKLEY / CONROY",  45.383517, -75.631378
AK630,8391,"WALKLEY / RYDER",  45.382050, -75.634887
AK641,6927,"WALKLEY / DON REID",  45.382321, -75.633835
AL090,8328,"ST LAURENT / AD. 1971",  45.397502, -75.622133
AL100,8329,"ST LAURENT / TAWNEY",  45.396275, -75.621680
AL110,7284,"ST LAURENT / CONNERY",  45.395026, -75.620727
AL150,7286,"ST LAURENT / JOLIFFE",  45.392197, -75.619189
AL170,8348,"ST LAURENT / FOLEY",  45.390514, -75.618465
AL200,7288,"ST LAURENT / WALKLEY",  45.389182, -75.617546
AL210,2482,"WALKLEY / ST LAURENT",  45.388823, -75.618037
AL230,8323,"WALKLEY / TAWNEY",  45.390123, -75.615109
AL250,8322,"WALKLEY / MELFORT",  45.391676, -75.611202
AL270,7291,"WALKLEY / RUSSELL",  45.392726, -75.608440
AL280,6898,"WALKLEY / LANCASTER",  45.393987, -75.604026
AL300,8316,"RUSSELL / WALKLEY",  45.393644, -75.608566
AL311,1237,"RUSSELL / SOUTHVALE",  45.394003, -75.610040
AL330,7292,"RUSSELL / TUPPER",  45.395464, -75.613403
AL350,7296,"RUSSELL / DWIGHT",  45.396906, -75.615999
AL404,0640,"SOUTHVALE / RUSSELL",  45.394762, -75.609991
AL405,8364,"SOUTHVALE / AD. 2630",  45.395607, -75.609889
AL407,0660,"SOUTHVALE / BLACKSTONE",  45.395588, -75.609646
AL415,7298,"SOUTHVALE / AD. 2566",  45.397690, -75.611606
AL417,0641,"SOUTHVALE / BARRYMORE",  45.397679, -75.611274
AL425,7299,"SOUTHVALE / ERINBROOK",  45.399073, -75.614726
AL435,7300,"SOUTHVALE / AD. 2450",  45.399168, -75.616462
AL437,0642,"SOUTHVALE / DELRIDGE",  45.398845, -75.613159
AL594,4044,"OLD INNES / BANTREE",  45.410043, -75.618247
AL597,7318,"OLD INNES / INNES PARK",  45.410851, -75.616855
AL600,7313,"SHEFFIELD / AD. 2464",  45.409127, -75.609165
AL605,7319,"SHEFFIELD / AD. 2473",  45.409613, -75.609247
AL610,7314,"SHEFFIELD / BANTREE",  45.406993, -75.607909
AL633,6592,"SHEFFIELD / HUMBER",  45.402680, -75.605268
AL640,7324,"SHEFFIELD / AD. 2750",  45.400049, -75.603675
AL645,7326,"SHEFFIELD / AD. 2740",  45.400500, -75.603770
AL660,7325,"SHEFFIELD / AD. 2780",  45.398901, -75.603003
AL665,7327,"SHEFFIELD / AD. 2801",  45.398827, -75.602775
CA040,1146,"WELLINGTON / BAY",  45.419504, -75.707045
CA090,7687,"BANK / SLATER",  45.419401, -75.700032
CA120,7683,"QUEEN / KENT",  45.419800, -75.702734
CA300,7689,"BAY / QUEEN",  45.417926, -75.706179
CB150,7557,"ELGIN / WELLINGTON",  45.424439, -75.694760
CB160,7558,"ELGIN / QUEEN",  45.423273, -75.695339
CB170,7559,"ELGIN / SLATER",  45.422041, -75.694091
CB200,1228,"QUEEN / METCALFE",  45.422326, -75.696727
CC050,6823,"TORMEY / COBOURG",  45.433044, -75.677434
CC060,6824,"CHARLOTTE / RIDEAU",  45.432795, -75.676543
CC065,4068,"CHARLOTTE / TORMEY",  45.433101, -75.676603
CC070,6822,"COBOURG / BEAUSOLEIL",  45.432919, -75.678778
CC090,6825,"COBOURG / CLARENCE",  45.434249, -75.679769
CC110,7568,"COBOURG / ST PATRICK",  45.435132, -75.681264
CC170,7571,"ST PATRICK / COBOURG",  45.436060, -75.681404
CC180,6830,"OLD ST PATRICK / COBOURG",  45.435295, -75.682629
CC200,6828,"OLD ST PATRICK / BEAUSOLEIL",  45.434322, -75.684931
CC210,6827,"OLD ST PATRICK / DE LA SALLE H.S.",  45.434318, -75.684471
CC220,1904,"BEAUSOLEIL / ST PATRICK",  45.434494, -75.686398
CC230,2319,"ST PATRICK / BEAUSOLEIL",  45.434340, -75.687354
CC260,2321,"ST PATRICK / CUMBERLAND",  45.431764, -75.691026
CC320,2322,"MURRAY / DALHOUSIE",  45.430436, -75.691556
CC330,7575,"MURRAY / CUMBERLAND",  45.431339, -75.689473
CC335,2320,"MURRAY / KING EDWARD",  45.432264, -75.687862
CC340,6402,"DALHOUSIE / ST PATRICK",  45.430580, -75.692743
CC350,6838,"DALHOUSIE / YORK",  45.428949, -75.691245
CC360,6837,"DALHOUSIE / CLARENCE",  45.429473, -75.691506
CC370,7577,"DALHOUSIE / RIDEAU",  45.427383, -75.689823
CC510,2404,"BOTELER / SUSSEX",  45.433645, -75.698642
CC520,7578,"BOTELER / GILBERT-PAQUETTE",  45.434193, -75.697228
CC530,7579,"BOTELER / DALHOUSIE",  45.434520, -75.696380
CC535,1884,"DALHOUSIE / BRUYÈRE",  45.432571, -75.694388
CC550,6831,"SUSSEX / AD. 100",  45.437909, -75.697090
CC560,6832,"SUSSEX / KING EDWARD",  45.437839, -75.696899
CC580,6836,"SUSSEX / BOTELER",  45.433468, -75.699130
CC600,7581,"SUSSEX / BRUYÈRE",  45.431400, -75.698308
CD010,1845,"RIDEAU / WURTEMBURG",  45.433457, -75.674821
CD020,2337,"RIDEAU / CHARLOTTE",  45.432536, -75.676816
CD040,2325,"RIDEAU / AUGUSTA",  45.431711, -75.678906
CD060,7591,"RIDEAU / CHAPEL",  45.430933, -75.680757
CD080,2323,"RIDEAU / FRIEL",  45.430289, -75.682267
CD100,7594,"RIDEAU / NELSON",  45.429635, -75.683874
CD120,1658,"RIDEAU / KING EDWARD",  45.428555, -75.686471
